Project Name,Address,Latitude,Longitude,STATUS,ROUND,SOURCE,GRANT TOTAL,TPC,% TPC
Demera Ethiopian Restaurant,"4528 S Cottage Grove Av, Chicago, IL",41.8122274,-87.6070567,ACTIVE,2022-3,TIF,"$5,000,000 ","$7,000,000 ",71%
Eli's Cheesecake Company Innovation & Education Center,"6701 W Forest Preserve Av, Chicago, IL",41.958984,-87.7944585,ACTIVE,2022-3,CRP,"$1,000,000 ","$2,065,000 ",48%
KOCO Office and Silver Fox Cafe ,"4242 S Cottage Grove Av, Chicago, IL",41.8173564,-87.6070437,ACTIVE,2022-3,CRP,"$3,655,000 ","$4,969,450 ",74%
Old Fashioned Donuts,"11248 S Michigan Av, Chicago, IL",41.689346,-87.6213404,ACTIVE,2022-3,NOF,"$562,209 ","$803,156 ",70%
Twisted Egg Roll,"657 E 75th St, Chicago, IL",41.7583377,-87.6080309,ACTIVE,2022-3,NOF,"$784,238 ","$1,334,238 ",59%
Yellow Banana - Altgeld,"13000,13006,13012,13016 Rhodes Ave and 13001,13007,13013,13017 Eberhart Ave S Rhodes Av, Chicago, IL",41.6585183,-87.6103223,ACTIVE,2022-3,CRP,"$5,000,000 ","$8,000,000 ",63%
Soul & Smoke,"3057 N Rockwell St, Chicago, IL",41.9375368,-87.691236,ACTIVE,2023-1,TIF,"$500,000 ","$1,191,960 ",42%
CityLit Books & Monday Coffee at Lucy Gonzalez Parsons Apartments,"2614 N Emmett St, Chicago, IL",41.9308945,-87.708843,ACTIVE,2024-1,CRP Bond,"$620,150 ","$1,240,300 ",50%
Evelyn's Food Love Rooftop Bar & Deck,"5522 S State St, Chicago, IL",41.7935523,-87.6260121,ACTIVE,2024-1,NOF,"$483,000 ","$644,000 ",75%
Growing Home Urban Farm Enterprise Expansion Project,"1824 W 59th St, Chicago, IL",41.787155,-87.669865,ACTIVE,2024-1,HED Bond,"$5,000,000 ","$20,003,559 ",25%
Ida's Artisan Ice Cream & Treats,"3935 W Roosevelt Rd, Chicago, IL",41.865968,-87.7241253,ACTIVE,2024-1,NOF,"$512,930 ","$2,012,930 ",25%
Uptown Food Exchange,"4833 N Broadway, Chicago, IL",41.9700459,-87.6593075,ACTIVE,2024-1,TIF,"$1,982,250 ","$3,964,500 ",50%
Whadda Jerk,"1600 S Kedzie Av, Chicago, IL",41.8589583,-87.7057306,ACTIVE,2024-1,NOF,"$724,296 ","$2,824,296 ",26%
XS Tennis Food Court,"5336 S State St, Chicago, IL",41.7972529,-87.6266205,ACTIVE,2024-1,CRP Bond,"$1,280,325 ","$2,560,649 ",50%
TCA Health's Nutrition Innovation Center,"1029 E 130th St, Chicago, IL",41.6588246,-87.5967981,ACTIVE,2024-2,CDG,"$5,000,000.00 ","$13,313,496.00 ",38%
The Re-Up on 59th & Racine  ,"1158 W 59th St, Chicago, IL",41.7871496,-87.6545006,ACTIVE,2024-2,NOF,"$2,500,000.00 ","$6,156,817.00 ",41%
Ujima Hive,"1158 W 59th St, Chicago, IL",41.7871496,-87.6545006,ACTIVE,2024-2,CDG,"$1,808,579.44 ","$11,285,779.00 ",16%
CTRL Kitchen 4551,"4551 W Fulton St, Chicago, IL",41.8851358,-87.7399609,ACTIVE,2024-2,Pre-Development,"$150,000 ","$2,664,850.00 ",37%
Garden To Table Farm,"1431-41 S Harding Av, Chicago, IL",41.861619,-87.723477,ACTIVE,2024-2,Pre-Development,"$150,000 ","$516,264.00 ",75%
