growing_site_name,address,has_chicago,add_chicago,full_address,Latitude,Longitude,location,ward,community,district_n,ownership,growing_site_website,public_contact_info,facebook,evidence_of_support_organizations,is_growing_site_fenced,is_growing_site_locked,food_producing,compost_system,is_growing_site_dormant,other_support_organization,season_extension_techniques,structures_and_features,water,choose_growing_site_types,community_garden,if_it_s_a_community_garden_is_it_collective_or_allotment,neighborhood
Hammond Elementary School (Charles G.),2819 W 21st Pl,TRUE,Chicago IL,2819 W 21st Pl Chicago IL,41.8525346,-87.6963492,"[41.8525346,-87.6963492]",12,CHICAGO,7,,,,,,,,TRUE,FALSE,FALSE,,,,,School Garden,FALSE,,
Kelly High School (Thomas),4136 S California,TRUE,Chicago IL,4136 S California Chicago IL,41.8180982,-87.6953979,"[41.8180982,-87.6953978999999]",12,CHICAGO,7,,,,,,,,FALSE,FALSE,FALSE,,,,,School Garden  Ornamental / Beautification,FALSE,,
Thomas Early Childhood Center,3625 S Hoyne Ave,TRUE,Chicago IL,3625 S Hoyne Ave Chicago IL,41.8277189,-87.6774454,"[41.8277189,-87.6774454]",12,CHICAGO,7,Chicago Public Schools,,,,The Kitchen Community,,,TRUE,FALSE,FALSE,,,,,School Garden,FALSE,,
Iron St Farm,3333 N Iron St,TRUE,Chicago IL,3333 N Iron St Chicago IL,41.8329898,-87.6601938,"[41.8329898,-87.6601938]",12,CHICAGO,7,,http://www.growingpower.org/chicago_projects.htm,,,Growing Power,,,TRUE,TRUE,FALSE,,Hoop house,Farm Stand,,Urban Farm  Demo / Training / Program  Urban Agriculture Organization,FALSE,,
Jardincito Nature Play Garden,2300 S Whipple St  Chicago  IL 60623  USA,FALSE,,2300 S Whipple St  Chicago  IL 60623  USA,41.8498469,-87.701875,"[41.8498469,-87.701875]",12,CHICAGO,7,NeighborSpace,http://neighbor-space.org/2013/05/07/jardincito/,,https://www.facebook.com/pages/Jardincito-Little-Village-Nature-Play-Garden/392331197541734?ref=br_tf,,FALSE,FALSE,FALSE,,FALSE,,,,,Community Garden,TRUE,,
Las Semillas de Justicia Garden,2727 S Troy St  Chicago  IL 60623  USA,FALSE,,2727 S Troy St  Chicago  IL 60623  USA,41.8415685,-87.7033367,"[41.8415685,-87.7033367]",12,CHICAGO,7,NeighborSpace,http://semillasdejusticia.weebly.com/,info@LVEJO.org,https://www.facebook.com/semillasdejusticiacommunitygarden,LVEJO  NeighborSpace,TRUE,TRUE,TRUE,,FALSE,,,,,Community Farm  Community Garden,TRUE,,
Raíces de Esperanza Community Garden,California and 24th Chicago IL,FALSE,,California and 24th Chicago IL,41.847992,-87.695419,"[41.847992,-87.695419]",12,CHICAGO,7,Chicago Public Schools,,mgallegos@esperanzachicago.org,,,FALSE,FALSE,TRUE,FALSE,FALSE,Esperanza Health Centers and Telpochcalli School,,,City Fire Hydrant,Community Garden,TRUE,Collective,
Heard Family,5515 S Racine Ave,TRUE,Chicago IL,5515 S Racine Ave Chicago IL,41.7933615,-87.6545472,"[41.7933615,-87.6545472]",16,ENGLEWOOD,2,,,,,,,,TRUE,,FALSE,,,,,,,,
Bethel Terrace Senior Community Garden,900 W 63rd Pkwy,TRUE,Chicago IL,900 W 63rd Pkwy Chicago IL,41.7821944,-87.6477251,"[41.7821944,-87.6477251]",16,ENGLEWOOD,2,,,,,,TRUE,TRUE,TRUE,,FALSE,,,Handicap accessible bed,Hose connected to private property,Community Garden  (Assisted) Housing,,Collective,
Justine Community Garden,6951 S Justine St,TRUE,Chicago IL,6951 S Justine St Chicago IL,41.7671654,-87.6623543,"[41.7671654,-87.6623542999999]",16,CHICAGO,2,,,,,,TRUE,FALSE,TRUE,,FALSE,,,Compost System  Shed / Storage box,Rain collection system ( rain barrels  cisterns),Community Garden,,Collective,
The Jean Carter Hill Community Garden,6006 S Peoria St,TRUE,Chicago IL,6006 S Peoria St Chicago IL,41.7845987,-87.6477079,"[41.7845987,-87.6477079]",16,ENGLEWOOD,2,,,,,,,,FALSE,,TRUE,,,,,Community Garden,,,
Davis Magnet Elementary Academy Learning Garden (Sir Miles),6740 S Paulina St,TRUE,Chicago IL,6740 S Paulina St Chicago IL,41.7711593,-87.6668207,"[41.7711593,-87.6668207]",16,CHICAGO,2,Chicago Public Schools,http://www.milesdavismagnet.org/ourpages/auto/2012/7/23/50442782/MDMA%20The%20Great%20Newsletter%20Summer%202012.pdf,,,The Kitchen Community,TRUE,FALSE,TRUE,FALSE,FALSE,Greater Englewood Garden Association,Greenhouse,Seating Area  Teaching Area  Handicap accessible bed,Irrigation System  On site water source,School Garden  Ornamental / Beautification,FALSE,,
Donald L Morrill Math and Science School,6011 S Rockwell St,TRUE,Chicago IL,6011 S Rockwell St Chicago IL,41.7840433,-87.6883007,"[41.7840433,-87.6883007]",16,CHICAGO,11,Chicago Public Schools,,,,The Kitchen Community,TRUE,TRUE,TRUE,FALSE,FALSE,,,,,School Garden,FALSE,,
Earle Elementary School (Charles W.),2040 W 62nd St  Chicago  IL 60636  USA,FALSE,,2040 W 62nd St  Chicago  IL 60636  USA,41.7815915,-87.6756037,"[41.7815915,-87.6756037]",16,CHICAGO,2,Chicago Public Schools,,,,The Kitchen Community,TRUE,FALSE,TRUE,FALSE,FALSE,,,Covered Area  Seating Area  Teaching Area  Handicap accessible bed,Irrigation System  On site water source,School Garden,FALSE,,
Holmes Elementary School (Oliver Wendell),955 W Garfield St Chicago IL,FALSE,,955 W Garfield St Chicago IL,41.7936459,-87.6495578,"[41.7936459,-87.6495578]",16,ENGLEWOOD,2,,,,,,,,FALSE,FALSE,FALSE,,,,,,FALSE,,
Langford Community Academy (Anna R.),6010 S Throop St Chicago IL,FALSE,,6010 S Throop St Chicago IL,41.7845498,-87.6574045,"[41.7845498,-87.6574045]",16,CHICAGO,2,,,,,,,,FALSE,FALSE,FALSE,,,,,School Garden  Ornamental / Beautification  Habitat / Conservation / Prairie,FALSE,,
Nicholson Specialty School for Science (Lillian R.),6006 S Peoria St.,TRUE,Chicago IL,6006 S Peoria St. Chicago IL,41.7845987,-87.6477079,"[41.7845987,-87.6477079]",16,ENGLEWOOD,2,Chicago Public Schools,,,,The Kitchen Community,TRUE,FALSE,TRUE,FALSE,FALSE,,,Seating Area  Covered Area  Handicap accessible bed  Teaching Area,Irrigation System  On site water source,School Garden  Ornamental / Beautification,FALSE,,
Perkins Bass Elementary School,1140 W 66th St Chicago IL,FALSE,,1140 W 66th St Chicago IL,41.7748541,-87.6536429,"[41.7748541,-87.6536429]",16,ENGLEWOOD,2,Chicago Public Schools,,,,The Kitchen Community,TRUE,FALSE,TRUE,FALSE,FALSE,,,Covered Area  Teaching Area  Handicap accessible bed,Irrigation System,School Garden,FALSE,,
United Human Service Center,1901 W. 51st Street,TRUE,Chicago IL,1901 W. 51st Street Chicago IL,41.8008912,-87.6723016,"[41.8008912,-87.6723016]",16,NEW CITY,11,,,,,,,,TRUE,FALSE,FALSE,,,,,Demo / Training / Program,FALSE,,
Lindblom Park Harvest Garden,6054 S Damen Ave  Chicago  IL 60636  USA,FALSE,,6054 S Damen Ave  Chicago  IL 60636  USA,41.7830705,-87.6746175,"[41.7830705,-87.6746175]",16,CHICAGO,2,Chicago Park District,,,,,TRUE,FALSE,TRUE,TRUE,FALSE,,,Teaching Area,On site water source,,FALSE,,
Moran Park Harvest Garden,5727 S Racine Ave  Chicago  IL 60621  USA,FALSE,,5727 S Racine Ave  Chicago  IL 60621  USA,41.7896607,-87.6545748,"[41.7896607,-87.6545747999999]",16,ENGLEWOOD,2,Chicago Park District,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,,,Teaching Area,On site water source,Demo / Training / Program,FALSE,,
Churchview Park,2654 W 63rd St  Chicago  IL 60629  USA,FALSE,,2654 W 63rd St  Chicago  IL 60629  USA,41.7794268,-87.6905188,"[41.7794268,-87.6905187999999]",16,CHICAGO,11,NeighborSpace,http://neighbor-space.org/2012/06/15/churchview-park/,,,NeighborSpace,TRUE,FALSE,FALSE,,FALSE,,,,,,TRUE,,
Miles Davis Magnet Academy Learning Garden,6740 S Paulina St  Chicago  IL 60636  USA,FALSE,,6740 S Paulina St  Chicago  IL 60636  USA,41.7711593,-87.6668207,"[41.7711593,-87.6668207]",16,CHICAGO,2,Chicago Public Schools,www.milesdavismagnet.org,mbmckinney@cps.edu,,OpenLands  The Kitchen Community  Other,TRUE,FALSE,TRUE,TRUE,FALSE,WholeKids Foundation,,Compost System  Teaching Area  Shed / Storage box  Seating Area,On site water source,School Garden,FALSE,,
SkyyGreens,1400 W 46th St  Ste 002,TRUE,Chicago IL,1400 W 46th St  Ste 002 Chicago IL,41.8107994,-87.6606561,"[41.8107994,-87.6606561]",15,NEW CITY,7,,http://skyygreens.com/index.html,,,,,,TRUE,FALSE,FALSE,,,,,Urban Farm,FALSE,,
Back of the Yards Community Garden,4850 S Hermitage Ave,TRUE,Chicago IL,4850 S Hermitage Ave Chicago IL,41.805251,-87.6688224,"[41.805251,-87.6688224]",15,NEW CITY,7,,http://resurrectionproject.org,,,,,,FALSE,,TRUE,,,,,Community Garden,,,
Back of the Yards Neighborhood Council Garden,4624 S Paulina St,TRUE,Chicago IL,4624 S Paulina St Chicago IL,41.8096042,-87.6677646,"[41.8096042,-87.6677646]",15,NEW CITY,7,,http://bync.org/index.php?s=community+garden,,,,,,FALSE,,FALSE,,,,,Community Garden,,,
Hermitage Street Community Garden,5643 S Hermitage Ave,TRUE,Chicago IL,5643 S Hermitage Ave Chicago IL,41.7909356,-87.6678504,"[41.7909356,-87.6678503999999]",15,CHICAGO,2,NeighborSpace,,,,,TRUE,TRUE,TRUE,,FALSE,Growing Home,,Compost System  Seating Area,Hose connected to private property,Community Garden,,Allotment,
Holy Angels Church Garden,5929 S Winchester Ave,TRUE,Chicago IL,5929 S Winchester Ave Chicago IL,41.7857976,-87.6726374,"[41.7857976,-87.6726374]",15,CHICAGO,2,,,,,,,,TRUE,,FALSE,,,,Hose connected to private property,Community Garden  Congregation Garden,,Collective,
Carson Elementary School Garden (Rachel),5516 S Maplewood Ave,TRUE,Chicago IL,5516 S Maplewood Ave Chicago IL,41.7933077,-87.6877554,"[41.7933077,-87.6877554]",15,CHICAGO,7,,,,,,,,FALSE,FALSE,FALSE,,,,,School Garden  Habitat / Conservation / Prairie,FALSE,,
Gage Park High School,5630 S Rockwell,TRUE,Chicago IL,5630 S Rockwell Chicago IL,41.7909828,-87.6895972,"[41.7909827999999,-87.6895972]",15,CHICAGO,7,,,,,,,,FALSE,FALSE,FALSE,,,,,School Garden,FALSE,,
Gunsaulus Elementary Scholastic Academy (Frank W.),4420 S Sacramento Av,TRUE,Chicago IL,4420 S Sacramento Av Chicago IL,41.8125253,-87.6998016,"[41.8125253,-87.6998016]",15,CHICAGO,7,,,,,,,,FALSE,FALSE,FALSE,,,,,School Garden  Ornamental / Beautification  Habitat / Conservation / Prairie,FALSE,,
Harper High School (William Rainey),6520 S Wood Chicago IL,FALSE,,6520 S Wood Chicago IL,41.7749645,-87.6697821,"[41.7749645,-87.6697820999999]",15,CHICAGO,2,,,,,,,,FALSE,FALSE,FALSE,,,,,,FALSE,,
Henderson Elementary School (Charles R.),5650 S. Wolcott,TRUE,Chicago IL,5650 S. Wolcott Chicago IL,41.791013,-87.6722308,"[41.791013,-87.6722308]",15,CHICAGO,2,,,,,,,,FALSE,FALSE,FALSE,,,,,School Garden  Ornamental / Beautification,FALSE,,
Lara Elementary Academy (Agustin),4619 S Wolcott Ave,TRUE,Chicago IL,4619 S Wolcott Ave Chicago IL,41.8097849,-87.6719381,"[41.8097849,-87.6719380999999]",15,NEW CITY,7,,,,,,,,TRUE,FALSE,FALSE,,,,,School Garden  Ornamental / Beautification,FALSE,,
Lindblom Math and Science Academy,6130 S Wolcott Ave,TRUE,Chicago IL,6130 S Wolcott Ave Chicago IL,41.7820793,-87.6721684,"[41.7820793,-87.6721683999999]",15,CHICAGO,2,Chicago Public Schools,,,,The Kitchen Community,TRUE,FALSE,TRUE,FALSE,FALSE,,Greenhouse,Covered Area  Seating Area  Teaching Area  Handicap accessible bed,Irrigation System  On site water source,School Garden  Ornamental / Beautification,FALSE,,
Shields Elementary School (James),4250 S Rockwell St,TRUE,Chicago IL,4250 S Rockwell St Chicago IL,41.816202,-87.6902397,"[41.816202,-87.6902396999999]",15,CHICAGO,7,,,,,,,,FALSE,FALSE,FALSE,,,,,,FALSE,,
Greens & Gills,1400 W 46th St  Ste 004,TRUE,Chicago IL,1400 W 46th St  Ste 004 Chicago IL,41.8107994,-87.6606561,"[41.8107994,-87.6606561]",15,NEW CITY,7,,greensandgills.com,,,,,,TRUE,FALSE,FALSE,,,,,Urban Farm,FALSE,,
Growing Home's Honore St. Farm,5840 S Honore St,TRUE,Chicago IL,5840 S Honore St Chicago IL,41.787235,-87.670827,"[41.787235,-87.670827]",15,CHICAGO,2,NeighborSpace,www.growinghomeinc.org,info@growinghomeinc.org,https://www.facebook.com/growinghomeinc,NeighborSpace  Growing Home,,,TRUE,FALSE,FALSE,,Hoop house,,,Urban Farm  Urban Agriculture Organization  Demo / Training / Program,FALSE,,
The Plant Chicago,1400 W 46th St,TRUE,Chicago IL,1400 W 46th St Chicago IL,41.8107994,-87.6606561,"[41.8107994,-87.6606561]",15,NEW CITY,7,,http://www.plantchicago.com/farms/,,,,,,TRUE,FALSE,FALSE,,,,,Urban Farm  Restaurant / Catering Garden,FALSE,,
Growing Home's Wood St. Urban Farm,5814 S Wood St,TRUE,Chicago IL,5814 S Wood St Chicago IL,41.7879075,-87.670076,"[41.7879075,-87.670076]",15,CHICAGO,2,Private,www.growinghomeinc.org,info@growinghomeinc.org,,Growing Home,TRUE,TRUE,TRUE,FALSE,FALSE,,Hoop house,Farm Stand,,Urban Farm  Urban Agriculture Organization  Demo / Training / Program,FALSE,,
Gage Park Harvest Garden,2411 W 55th St  Chicago  IL 60632  USA,FALSE,,2411 W 55th St  Chicago  IL 60632  USA,41.7935185,-87.6850755,"[41.7935185,-87.6850755]",15,CHICAGO,11,Chicago Park District,,,,,TRUE,TRUE,TRUE,TRUE,FALSE,,,Artwork / Sculptures  Artwork / Sculptures  Artwork / Sculptures  Artwork / Sculptures  Artwork / Sculptures  Compost System  Compost System  Compost System  Compost System  Handicap accessible bed  Handicap accessible bed  Handicap accessible bed  Seating Area  Seating Area  Teaching Area,On site water source,Demo / Training / Program,FALSE,,
"Wood Street ""Meet & Greet"" Community Garden",6136 S Wood St  Chicago  IL 60636  USA,FALSE,,6136 S Wood St  Chicago  IL 60636  USA,41.7820268,-87.6694052,"[41.7820268,-87.6694052]",15,CHICAGO,2,City of Chicago,ggechicago.org,Sonya Harper  Executive Director  Grow Greater Englewood,www.facebook.com/GrowGreaterEnglewood,Growing Home  OpenLands  Other,FALSE,FALSE,TRUE,TRUE,FALSE,Grow Greater Englewood  GET Gardening  Greater Englewood Gardening Association,,Teaching Area,Hose connected to private property,Community Garden  Community Garden  Urban Agriculture Organization,TRUE,Allotment,
All Love Garden,5004 S Paulina St,TRUE,Chicago IL,5004 S Paulina St Chicago IL,41.8029346,-87.6675731,"[41.8029346,-87.6675731]",20,NEW CITY,7,,http://bync.org/index.php?s=community+garden,,,,,,FALSE,,TRUE,,,,,Community Garden,,,
Precious Blood CG/Peace Garden,1245 W 51st Street,TRUE,Chicago IL,1245 W 51st Street Chicago IL,41.801175,-87.65671,"[41.801175,-87.6567099999999]",20,NEW CITY,11,,,,,,TRUE,TRUE,TRUE,,FALSE,,,Seating Area  Handicap accessible bed,Hose connected to private property,Community Garden  Congregation Garden  School Garden  Demo / Training / Program,,Allotment  Collective,
Rowan Trees,535 W Englewood Ave,TRUE,Chicago IL,535 W Englewood Ave Chicago IL,41.780524,-87.638918,"[41.780524,-87.6389179999999]",20,ENGLEWOOD,2,,,,,,TRUE,TRUE,TRUE,,FALSE,,,Compost System  Artwork / Sculptures,Hose connected to private property,Community Garden,,Collective,
Big Picture @ Back of the Yards,4946 S Paulina,TRUE,Chicago IL,4946 S Paulina Chicago IL,41.8035648,-87.6676546,"[41.8035648,-87.6676545999999]",20,NEW CITY,7,,,,,,,,FALSE,FALSE,FALSE,,,,,School Garden  Ornamental / Beautification,FALSE,,
Chavez Multicultural Academic Center Elementary School (Cesar E),4747 S Marshfield Ave,TRUE,Chicago IL,4747 S Marshfield Ave Chicago IL,41.8078036,-87.6657475,"[41.8078036,-87.6657475]",20,NEW CITY,7,Chicago Public Schools,,,,The Kitchen Community,TRUE,FALSE,TRUE,FALSE,FALSE,,,,,School Garden,FALSE,,
Hamline Elementary School Branch (John H.),1548 W 48th St Chicago IL,FALSE,,1548 W 48th St Chicago IL,41.8069419,-87.663978,"[41.8069419,-87.663978]",20,NEW CITY,7,,,,,,,,TRUE,FALSE,FALSE,,,,,School Garden  Ornamental / Beautification,FALSE,,
Hope College Preparatory High School,5515 S Lowe,TRUE,Chicago IL,5515 S Lowe Chicago IL,41.7935487,-87.6410011,"[41.7935487,-87.6410011]",20,ENGLEWOOD,2,,,,,,,,TRUE,FALSE,FALSE,,,,,School Garden,FALSE,,
Kershaw Elemenary School (Joshua D.),6450 S Lowe Ave Chicago IL,FALSE,,6450 S Lowe Ave Chicago IL,41.7765492,-87.6415407,"[41.7765492,-87.6415407]",20,ENGLEWOOD,2,,,,,,,,FALSE,FALSE,FALSE,,,,,,FALSE,,
Richards Career Academy High School (Ellen H.),5009 S Laflin,TRUE,Chicago IL,5009 S Laflin Chicago IL,41.802773,-87.6620626,"[41.8027729999999,-87.6620626]",20,NEW CITY,7,,,,,,,,FALSE,FALSE,FALSE,,,,,School Garden,FALSE,,
Sherman Elementary School (AUSL),1000 W 52nd St,TRUE,Chicago IL,1000 W 52nd St Chicago IL,41.8000329,-87.6504784,"[41.8000329,-87.6504784]",20,NEW CITY,2,,,,,,,,FALSE,FALSE,FALSE,,,,,School Garden  Ornamental / Beautification,FALSE,,
The Pie Patch - A Pick Your Own Organic Farm,5041 S Laflin St  Chicago  IL 60609  USA,FALSE,,5041 S Laflin St  Chicago  IL 60609  USA,41.8023856,-87.6623848,"[41.8023856,-87.6623848]",20,NEW CITY,7,,http://www.thepiepatchfarm.com,312-369-9009,https://www.facebook.com/thepiepatchicago?fref=ts,Other,TRUE,,TRUE,FALSE,FALSE,Su Casa Catholic Worker,,,,Urban Farm,FALSE,,
Su Casa Catholic Worker,5045 S Laflin St  Chicago  IL 60609  USA,FALSE,,5045 S Laflin St  Chicago  IL 60609  USA,41.8018238,-87.6617089,"[41.8018238,-87.6617089]",20,NEW CITY,7,Su Casa Catholic Worker,http://www.sucasacw.org,(773) 376-9263,https://www.facebook.com/SuCasaCatholicWorker,,TRUE,TRUE,TRUE,TRUE,FALSE,,Cold Frame,Washing Area / Sinks  Play Area  Grill / Cooking Station  Fire Pit  Electricity Outlet  Covered Area  Water Feature (ponds  fountain)  Seating Area  Educational Signage,On site water source  Rain collection system ( rain barrels  cisterns),Urban Farm  Habitat / Conservation / Prairie  Orchard,,,
Resource Center's Perry Street Farm,W. 57th St. and S. Perry Ave.,TRUE,Chicago IL,W. 57th St. and S. Perry Ave. Chicago IL,41.790967,-87.6277187,"[41.7909669999999,-87.6277187]",20,CHICAGO,2,,http://www.resourcecenterchicago.org/,,,,,,TRUE,FALSE,FALSE,,,,,Urban Farm,FALSE,,
Sherwood Peace Garden,257 W 61st St  Chicago  IL 60621  USA,FALSE,,257 W 61st St  Chicago  IL 60621  USA,41.7831372,-87.6324842,"[41.7831372,-87.6324842]",20,ENGLEWOOD,2,NeighborSpace,http://neighbor-space.org/2012/06/23/sherwood-peace-garden/,,,,FALSE,FALSE,FALSE,,FALSE,,,,,,TRUE,,
Moccasin Ranch Park,6445 S Kimbark Ave,TRUE,Chicago IL,6445 S Kimbark Ave Chicago IL,41.777186,-87.594132,"[41.777186,-87.594132]",20,WOODLAWN,3,Chicago Park District,http://www.chicagoparkdistrict.com/parks/Moccasin-Ranch-Playlot-Park/,,,,TRUE,FALSE,TRUE,,FALSE,,,Compost System  Fire Pit,City Fire Hydrant  Irrigation System,Community Garden,,Allotment,
Woodlawn Community Garden,6156 S St Lawrence Ave,TRUE,Chicago IL,6156 S St Lawrence Ave Chicago IL,41.7823336,-87.6111204,"[41.7823336,-87.6111203999999]",20,WOODLAWN,3,,,,,,TRUE,FALSE,TRUE,,FALSE,,,,Rain collection system ( rain barrels  cisterns),Community Garden,,Collective,
62nd Street Community Garden,6143 S Dorchester Ave,TRUE,Chicago IL,6143 S Dorchester Ave Chicago IL,41.7830845,-87.5912082,"[41.7830845,-87.5912082]",20,WOODLAWN,3,NeighborSpace,http://62garden.com,,https://www.facebook.com/62Garden,,TRUE,FALSE,TRUE,,FALSE,,,Compost System  Seating Area  Shed / Storage box,City Fire Hydrant  Hose connected to private property,Community Garden  Food Donation  School Garden,,Allotment  Collective,
65th and Woodlawn Garden,1207 E 65th St,TRUE,Chicago IL,1207 E 65th St Chicago IL,41.7766123,-87.5958069,"[41.7766123,-87.5958069]",20,WOODLAWN,3,,,,https://www.facebook.com/65thandwoodlawn,,TRUE,TRUE,TRUE,,FALSE,,Cold Tunnel,Grill / Cooking Station  Washing Area / Sinks  Fire Pit  Seating Area  Play Area  Shed / Storage box  Artwork / Sculptures  Educational Signage  Covered Area,City Fire Hydrant  Rain collection system ( rain barrels  cisterns)  Irrigation System,Community Garden  Food Donation  Congregation Garden  Ornamental / Beautification,,Allotment  Collective,
Brickyard Garden,6115 S Woodlawn Ave,TRUE,Chicago IL,6115 S Woodlawn Ave Chicago IL,41.783608,-87.595854,"[41.783608,-87.595854]",20,WOODLAWN,3,NeighborSpace,http://neighbor-space.org/2012/06/15/brickyard-garden/,,,,TRUE,FALSE,TRUE,,FALSE,,,Compost System  Seating Area  Shed / Storage box  Covered Area,On site water source  Rain collection system ( rain barrels  cisterns),Community Garden,,Unclear,
Ellis View Cooperative Garden,6368 S Ellis Ave,TRUE,Chicago IL,6368 S Ellis Ave Chicago IL,41.7784641,-87.600701,"[41.7784641,-87.600701]",20,WOODLAWN,3,,,,http://www.facebook.com/ellisviewgarden,,TRUE,TRUE,TRUE,,FALSE,,,Compost System  Seating Area  Shed / Storage box  Covered Area,Rain collection system ( rain barrels  cisterns)  Irrigation System,Community Garden,,Collective,
First Presbyterian Church of Chicago Garden,6400 S Kimbark Ave,TRUE,Chicago IL,6400 S Kimbark Ave Chicago IL,41.7783894,-87.595259,"[41.7783894,-87.595259]",20,WOODLAWN,3,,,,,,TRUE,TRUE,TRUE,,FALSE,,Greenhouse,Seating Area  Shed / Storage box,On site water source,Community Garden  Congregation Garden  Ornamental / Beautification,,Collective,
God's Little Acre,6401 S Kimbark Ave,TRUE,Chicago IL,6401 S Kimbark Ave Chicago IL,41.7785579,-87.594163,"[41.7785579,-87.594163]",20,WOODLAWN,3,,,,,,TRUE,FALSE,TRUE,,FALSE,First Presbyterian Church of Chicago,,Compost System  Grill / Cooking Station  Seating Area  Shed / Storage box,On site water source  Rain collection system ( rain barrels  cisterns),Community Garden  Congregation Garden,,Allotment,
Metro Community Garden,5857 S Wabash Ave,TRUE,Chicago IL,5857 S Wabash Ave Chicago IL,41.7879442,-87.6239192,"[41.7879442,-87.6239192]",20,CHICAGO,2,,,,,,TRUE,FALSE,TRUE,,FALSE,,,Compost System  Seating Area  Teaching Area,City Fire Hydrant,Community Garden  Food Donation  Congregation Garden  Demo / Training / Program,,Collective,
Mozart Garden,6200 S Stewart Ave,TRUE,Chicago IL,6200 S Stewart Ave Chicago IL,41.7817787,-87.6351015,"[41.7817787,-87.6351014999999]",20,ENGLEWOOD,2,,,,,,,,FALSE,,TRUE,,,,,Community Garden,,,
Mt Hope Missionary Baptist Church Garden,6034 S Princeton Ave,TRUE,Chicago IL,6034 S Princeton Ave Chicago IL,41.7841773,-87.6330087,"[41.7841773,-87.6330086999999]",20,ENGLEWOOD,2,,,,,,,,FALSE,,FALSE,,,,,Community Garden,,,
