Acct#,Site#,DBA Name,Address,Latitude,Longitude,License#,Record ID,License Code,License Name
124,1,EL NUEVO GUADALAJARA INC,"4350 S ASHLAND AVE CHICAGO, IL 60609",41.8143782,-87.66542,663,2939538,1006,Retail Food Establishment
128,1,EL JARDIN RESTAURANT,"3333-3339 N CLARK ST CHICAGO, IL 60657",41.94273279999999,-87.6527675,32881,2948888,1006,Retail Food Establishment
130,1,END ZONE TAP,"10036 S WESTERN AVE CHICAGO, IL 60643",41.7107666,-87.68205619999999,694,2907210,1006,Retail Food Establishment
131,19,ORSO'S RESTAURANT,"1401 N WELLS ST CHICAGO, IL 60610",41.9077751,-87.6343651,2405009,2944307,1006,Retail Food Establishment
136,1,WOODLAWN GARDENS,"1200 E 93RD ST CHICAGO, IL 60619",41.7259803,-87.5946821,732,2984128,1006,Retail Food Establishment
138,1,GUIDE'S SPORTS CLUB,"5544 S ARCHER AVE CHICAGO, IL 60638",41.7981239,-87.748241,747,2939541,1006,Retail Food Establishment
147,2,WALGREENS #1096,"3646 N BROADWAY  CHICAGO, IL 60613",41.948609,-87.6481721,18459,2957276,1006,Retail Food Establishment
147,5,WALGREENS #1375,"1200 N DEARBORN ST CHICAGO, IL 60610",41.9041461,-87.6304242,18404,2957279,1006,Retail Food Establishment
147,9,WALGREENS #162,"1554 E 55TH ST CHICAGO, IL 60615",41.7954817,-87.5881556,18419,2957283,1006,Retail Food Establishment
147,10,WALGREENS #249,"1601 N WELLS ST CHICAGO, IL 60614",41.9113757,-87.6344476,18423,2957285,1006,Retail Food Establishment
147,14,WALGREENS #215,"3045 W 26TH ST CHICAGO, IL 60623",41.8443803,-87.7017888,18435,2957290,1006,Retail Food Establishment
147,17,WALGREENS #259,"3358 N WESTERN AVE CHICAGO, IL 60618",41.9427717,-87.68990269999999,18444,2957291,1006,Retail Food Establishment
147,18,WALGREENS #232,"3405 S DR MARTIN LUTHER KING JR DR CHICAGO, IL 60616",41.8324593,-87.6168596,18447,2957294,1006,Retail Food Establishment
147,21,WALGREENS #147,"3611 E 106TH ST CHICAGO, IL 60617",41.7024681,-87.5358201,18456,2957298,1006,Retail Food Establishment
147,23,WALGREENS #163,"4000 W 59TH ST CHICAGO, IL 60629",41.7861728,-87.7232841,18465,2957301,1006,Retail Food Establishment
147,24,WALGREENS #226,"4005 W 26TH ST CHICAGO, IL 60623",41.8439944,-87.7248584,18468,2957305,1006,Retail Food Establishment
147,28,WALGREENS #00194,"4801 N LINCOLN AVE CHICAGO, IL 60625",41.9688916,-87.68838629999999,18480,2957308,1006,Retail Food Establishment
147,37,WALGREENS #252,"7510 N WESTERN AVE CHICAGO, IL 60645",42.0179933,-87.6908514,18512,2957311,1006,Retail Food Establishment
147,38,WALGREENS #211,"757 N MICHIGAN AVE CHICAGO, IL 60611",41.8965166,-87.6238968,18516,2957314,1006,Retail Food Establishment
147,42,WALGREENS #178,"740 W DIVERSEY PKWY CHICAGO, IL 60614",41.9329926,-87.6480917,18528,2957315,1006,Retail Food Establishment
147,43,WALGREENS #2432,"200 W ADAMS ST CHICAGO, IL 60606",41.8797766,-87.63413899999999,18531,2957320,1006,Retail Food Establishment
147,44,WALGREENS #258,"1650 W CHICAGO AVE CHICAGO, IL 60622",41.8963119,-87.669284,18534,2957321,1006,Retail Food Establishment
147,49,WALGREENS #03539,"11 E 75TH ST CHICAGO, IL 60619",41.7572359,-87.6242683,18552,2957323,1006,Retail Food Establishment
147,50,WALGREEN #03948,"5140 W DIVERSEY AVE CHICAGO, IL 60639",41.9316518,-87.7554978,18556,2957327,1006,Retail Food Establishment
147,51,WALGREENS #03950,"4343 N KEDZIE AVE CHICAGO, IL 60618",41.9605689,-87.7078701,18559,2957329,1006,Retail Food Establishment
147,52,WALGREENS #03949,"3046 N HALSTED ST CHICAGO, IL 60657",41.9377554,-87.65002,18562,2957332,1006,Retail Food Establishment
147,55,WALGREEN CO. #1173,"1520 W FULLERTON AVE CHICAGO, IL 60614",41.9253911,-87.666522,18416,2957334,1006,Retail Food Establishment
147,59,Walgreens #5926,"4385 S ARCHER AVE CHICAGO, IL 60632",41.8133772,-87.704861,1069844,2957339,1006,Retail Food Establishment
147,62,WALGREENS # 05124,"8628 S COTTAGE GROVE AVE CHICAGO, IL 60619",41.7379023,-87.6056161,1144212,2957342,1006,Retail Food Establishment
147,63,Walgreens # 05192,"9148 S COMMERCIAL AVE CHICAGO, IL 60617",41.7285156,-87.55212480000002,1144215,2957345,1006,Retail Food Establishment
147,68,Walgreens # 05867,"3943 W 47TH ST CHICAGO, IL 60632",41.8076347,-87.72269380000002,1222575,2957347,1006,Retail Food Establishment
147,69,WALGREENS # 06297,"6016 W 63RD ST CHICAGO, IL 60638",41.7780737,-87.7724129,1248924,2957350,1006,Retail Food Establishment
147,70,Walgreens # 05825,"1213 W 79TH ST CHICAGO, IL 60620",41.7502395,-87.65449079999999,1276518,2957353,1006,Retail Food Establishment
147,72,WALGREENS #5724,"7045 S PULASKI RD CHICAGO, IL 60629",41.7648826,-87.7222065,1331165,2957354,1006,Retail Food Establishment
147,75,WALGREENS # 06641,"1614 W 47TH ST CHICAGO, IL 60609",41.8088905,-87.6658987,1382417,2957356,1006,Retail Food Establishment
147,76,Walgreens # 07359,"3222 N MILWAUKEE AVE CHICAGO, IL 60618",41.9396155,-87.72520860000002,1443208,2957359,1006,Retail Food Establishment
147,78,Walgreens # 07250,"2345 W 103RD ST CHICAGO, IL 60643",41.70613970000001,-87.680842,1473004,2957361,1006,Retail Food Establishment
147,80,Walgreens # 03321,"5874 S ARCHER AVE CHICAGO, IL 60638",41.79611,-87.7615915,1493571,2957363,1006,Retail Food Establishment
147,81,Walgreens # 02340,"342 E ILLINOIS ST CHICAGO, IL 60611",41.8912163,-87.6183993,1493574,2957367,1006,Retail Food Establishment
147,82,Walgreens # 07630,"933 N STATE ST CHICAGO, IL 60610",41.9002705,-87.62797049999999,1514574,2957368,1006,Retail Food Establishment
147,83,Walgreens # 07515,"7155 W FOSTER PL CHICAGO, IL 60656",41.9746148,-87.80621819999999,1514578,2957372,1006,Retail Food Establishment
147,85,Walgreens # 07687,"3320 W FULLERTON AVE CHICAGO, IL 60647",41.924898,-87.7114888,1515454,2957374,1006,Retail Food Establishment
147,86,WALGREENS # 07179,"2 E ROOSEVELT RD CHICAGO, IL 60605",41.867253,-87.62711829999999,1542412,2957377,1006,Retail Food Establishment
147,90,WALGREENS # 06980,"3019 W PETERSON AVE CHICAGO, IL 60659",41.990127,-87.7051872,1618391,2957380,1006,Retail Food Establishment
147,91,WALGREENS # 09000,"2001 N MILWAUKEE AVE CHICAGO, IL 60647",41.9178256,-87.6883797,1622082,2957385,1006,Retail Food Establishment
147,94,WALGREENS # 09470,"4817 W FULLERTON AVE CHICAGO, IL 60639",41.9239483,-87.7473069,1678301,2957391,1006,Retail Food Establishment
147,95,WALGREENS # 01101,"1533 E 67TH ST CHICAGO, IL 60637",41.7731183,-87.5878245,1678305,2957392,1006,Retail Food Establishment
147,97,WALGREEN S # 07267,"650 W 63RD ST CHICAGO, IL 60621",41.780129,-87.6416818,1696942,2957395,1006,Retail Food Establishment
147,98,WALGREENS # 09438,"30 N MICHIGAN AVE CHICAGO, IL 60602",41.8829547,-87.6247085,1696945,2957398,1006,Retail Food Establishment
147,100,WALGREENS #09038,"4001 W IRVING PARK RD CHICAGO, IL 60641",41.9536239,-87.72818339999999,1718799,2957399,1006,Retail Food Establishment
147,101,WALGREENS #02387,"1616 E 87TH ST CHICAGO, IL 60617",41.7371252,-87.5841306,1740300,2957403,1006,Retail Food Establishment
147,102,WALGREENS #10350,"7109 S JEFFERY BLVD CHICAGO, IL 60649",41.76586560000001,-87.57596339999999,1766840,2957405,1006,Retail Food Establishment
147,104,WALGREENS #09709,"4010 W LAWRENCE AVE CHICAGO, IL 60630",41.9684711,-87.7289048,1803285,2957409,1006,Retail Food Establishment
147,108,WALGREENS #06727,"4720 N MARINE DR CHICAGO, IL 60640",41.967642,-87.64971690000002,1847450,2957413,1006,Retail Food Establishment
147,110,WALGREENS #06762,"11833 S WESTERN AVE CHICAGO, IL 60643",41.6779601,-87.6803353,1913840,2957415,1006,Retail Food Establishment
147,112,WALGREENS #12304,"2744 N CALIFORNIA AVE CHICAGO, IL 60647",41.93149220000001,-87.697932,1970105,2957420,1006,Retail Food Establishment
147,113,WALGREENS #10649,"3424 W BELMONT AVE CHICAGO, IL 60618",41.9395113,-87.7137647,1991657,2957422,1006,Retail Food Establishment
147,118,WALGREENS #13798,"5440 N CLARK ST CHICAGO, IL 60640",41.9811892,-87.668824,2087829,2957428,1006,Retail Food Establishment
147,119,WALGREENS #13106,"11801 S AVENUE O  CHICAGO, IL 60617",41.6806357,-87.53909019999999,2094120,2957433,1006,Retail Food Establishment
147,120,WALGREENS #15004,"953 W IRVING PARK RD CHICAGO, IL 60613",41.9542547,-87.6540328,2133993,2957435,1006,Retail Food Establishment
147,122,WALGREENS #15196,"151 N STATE ST CHICAGO, IL 60601",41.8848048,-87.6276206,2114738,2957437,1006,Retail Food Establishment
147,124,WALGREENS #13974 - PHARMACY,"225 E CHICAGO AVE CHICAGO, IL 60611",41.8959299,-87.6215421,2158190,2957441,1006,Retail Food Establishment
147,126,WALGREENS #15197,"6121 N BROADWAY  CHICAGO, IL 60660",41.9930764,-87.6599001,2245833,2957443,1006,Retail Food Establishment
147,129,WALGREENS #15493,"1333 W BELMONT AVE CHICAGO, IL 60657",41.9396677,-87.6623824,2220686,2957445,1006,Retail Food Establishment
147,130,WALGREENS #15507,"3800 W MADISON ST CHICAGO, IL 60624",41.8810436,-87.7210582,2270259,2957446,1006,Retail Food Establishment
147,132,WALGREENS #15506,"3303 W 26TH ST CHICAGO, IL 60623",41.8438924,-87.7077872,2271458,2957449,1006,Retail Food Establishment
147,137,WALGREENS #15992,"2500 N CLARK ST CHICAGO, IL 60614",41.9276963,-87.6421455,2327150,2957451,1006,Retail Food Establishment
147,139,WALGREENS #15971,"259 E ERIE ST CHICAGO, IL 60611",41.89369130000001,-87.620953,2354255,2957456,1006,Retail Food Establishment
147,140,WALGREENS #15525,"201 E HURON ST CHICAGO, IL 60611",41.8947253,-87.6219551,2359986,2957457,1006,Retail Food Establishment
147,141,WALGREENS #16085,"100 W RANDOLPH ST CHICAGO, IL 60601",41.8851523,-87.63167089999999,2360139,2957460,1006,Retail Food Establishment
147,142,WALGREENS #15350,"834 W ARMITAGE AVE CHICAGO, IL 60614",41.9183906,-87.649863,2379624,2957461,1006,Retail Food Establishment
147,143,WALGREENS #16355,"2 N STATE ST CHICAGO, IL 60602",41.88222409999999,-87.62844109999999,2424026,2957466,1474,Package Goods
147,149,WALGREENS #21160,"1051 W RANDOLPH ST CHICAGO, IL 60607",41.8837622,-87.65406899999999,2602004,2957469,1006,Retail Food Establishment
147,152,WALGREENS #21221,"433 W VAN BUREN ST CHICAGO, IL 60607",41.876648,-87.6386921,2781107,2957473,1006,Retail Food Establishment
150,1,RESI'S BIERSTUBE INC,"2034 W IRVING PARK RD CHICAGO, IL 60618",41.9543826,-87.6802065,800,2993824,1006,Retail Food Establishment
151,1,"LLOYD'S LOUNGE, INC.","6046 S RACINE AVE CHICAGO, IL 60636",41.7836866,-87.65486709999999,805,2901879,1470,Tavern
154,1,JOE'S FOOD & LIQUOR,"3622-3626 W LAWRENCE AVE CHICAGO, IL 60625",41.968611,-87.71924899999999,822,2918763,1006,Retail Food Establishment
156,1,LAS VEGAS NITE CLUB INC,"3702 W ARMITAGE AVE CHICAGO, IL 60647",41.9175192,-87.7194885,830,2930363,1470,Tavern
157,1,STEVE'S LOUNGE,"13200 S BALTIMORE AVE CHICAGO, IL 60633",41.6553456,-87.5475239,833,2924910,1006,Retail Food Establishment
159,1,ANDYS 11 EAST LOUNGE,"11 E HUBBARD ST CHICAGO, IL 60611",41.8898239,-87.6274114,845,3007315,1006,Retail Food Establishment
178,1,FREDY'S INN,"2905 N ELSTON AVE CHICAGO, IL 60618",41.9342683,-87.69055399999999,955,2993829,1006,Retail Food Establishment
184,12,CUBBY BEAR LOUNGE LTD,"1059-1065 W ADDISON ST CHICAGO, IL 60613",41.9469512,-87.6567149,2074472,2962427,1006,Retail Food Establishment
186,1,SPIRITS BEVERAGE CENTER,"7400 S HALSTED ST CHICAGO, IL 60621",41.7595552,-87.6445088,980,2984133,1006,Retail Food Establishment
188,1,FALCO'S PIZZA,"2806 W 40TH PL CHICAGO, IL 60632",41.82024819999999,-87.6947947,990,2901880,1006,Retail Food Establishment
191,1,Never Have I Ever,"2247 N LINCOLN AVE CHICAGO, IL 60614",41.9230245,-87.64502739999999,1194170,2891527,1470,Tavern
196,1,"MARTINO'S ITALIAN CUISINE & PIZZERIA, INC.","3431 W PETERSON AVE CHICAGO, IL 60659",41.9900544,-87.7153665,1050,3002848,1006,Retail Food Establishment
199,1,Ziggy's Side Door Pub & Deli,"6158 W 63RD ST CHICAGO, IL 60638",41.7779736,-87.7762152,1060,2939543,1006,Retail Food Establishment
202,2,MONK'S PUB,"205-207 W LAKE ST CHICAGO, IL 60606",41.8854702,-87.6342888,1077,2978153,1006,Retail Food Establishment
205,1,ONE STOP FOOD & LIQUOR STORE,"4301-4323 S LAKE PARK AVE CHICAGO, IL 60653",41.81650399999999,-87.5981911,1094,2998054,1006,Retail Food Establishment
207,1,TWIN ANCHORS,"1655 N SEDGWICK ST CHICAGO, IL 60614",41.91266890000001,-87.63851679999999,43102,2891531,1006,Retail Food Establishment
210,1,HAM TREE INN,"5333 N MILWAUKEE AVE CHICAGO, IL 60630",41.9775838,-87.7691265,1106,2935067,1006,Retail Food Establishment
212,1,LAKE SHORE COMMISSARY,"3950 N LAKE SHORE DR CHICAGO, IL 60613",41.954247,-87.6458578,1114,2962431,1006,Retail Food Establishment
216,1,FOREMOST LIQUORS CICERO,"3210-3212 N CICERO AVE CHICAGO, IL 60641",41.9392736,-87.7472246,28860,2913116,1470,Tavern
224,1,FRIAR TUCK INC.,"3010 N BROADWAY  CHICAGO, IL 60657",41.9368205,-87.6445924,1176,3002861,1470,Tavern
227,1,SADDLE AND CYCLE CLUB,"900 W FOSTER AVE CHICAGO, IL 60640",41.9776745,-87.6535169,1187,2907217,1006,Retail Food Establishment
230,1,HOPSMITH TAVERN,"15 W DIVISION ST CHICAGO, IL 60610",41.90375239999999,-87.6293022,1196,2957477,1006,Retail Food Establishment
232,1,BRUNA'S CAFE,"2424 S OAKLEY AVE CHICAGO, IL 60608",41.84765900000001,-87.68334519999999,1212,2935070,1006,Retail Food Establishment
233,1,FOREMOST LIQUORS,"3301 W NORTH AVE CHICAGO, IL 60647",41.9098723,-87.7098022,1214,2930367,1006,Retail Food Establishment
234,1,"MOODY'S RESTAURANT, INC.","5908 N BROADWAY  CHICAGO, IL 60660",41.9894324,-87.6605739,1219,2913120,1006,Retail Food Establishment
236,1,EDDIE'S FOOD & LIQUOR,"9807 S COTTAGE GROVE AVE CHICAGO, IL 60628",41.7163146,-87.604147,1225,2918767,1474,Package Goods
236,5,EDDIE'S,"9805 S COTTAGE GROVE AVE CHICAGO, IL 60628",41.7163989,-87.6041728,2048819,2918769,1006,Retail Food Establishment
237,1,CUNNEEN'S PUB,"1424 W DEVON AVE CHICAGO, IL 60660",41.9983065,-87.6666288,1231,2913121,1470,Tavern
240,1,"ITALIAN VILLAGE RESTAURANT, INC.","71 W MONROE ST CHICAGO, IL 60603",41.8803522,-87.63011259999999,1237,2952648,1006,Retail Food Establishment
241,2,PALM RESTAURANT,"323 E WACKER DR CHICAGO, IL 60601",41.8875223,-87.6195261,2579054,2978156,1006,Retail Food Establishment
242,1,BREHON PUB,"731-733 N WELLS ST CHICAGO, IL 60610",41.8957819,-87.63394629999999,1246,2944322,1006,Retail Food Establishment
254,8,HOME RUN INN PIZZERIA,"4254 W 31ST ST CHICAGO, IL 60623",41.8370131,-87.73138279999999,2608716,2972532,1006,Retail Food Establishment
259,3,JEWEL FOOD STORE #3443,"5343 N BROADWAY  CHICAGO, IL 60640",41.9791361,-87.65927909999999,1323,2948892,1006,Retail Food Establishment
259,4,JEWEL FOOD STORE #3454,"4250 N LINCOLN AVE CHICAGO, IL 60618",41.9584767,-87.6826136,1325,2948893,1006,Retail Food Establishment
259,7,JEWEL FOOD STORE #1282,"4729 N CENTRAL AVE CHICAGO, IL 60630",41.9668984,-87.7667003,1337,2948898,1006,Retail Food Establishment
259,16,JEWEL FOOD STORE #3170,"5320 S PULASKI RD CHICAGO, IL 60632",41.79586339999999,-87.7251175,1366,2948900,1006,Retail Food Establishment
259,17,JEWEL FOOD STORE #3181,"87 W 87TH ST CHICAGO, IL 60620",41.7354656,-87.6277387,1368,2948901,1006,Retail Food Establishment
259,19,JEWEL FOOD STORE #3477,"4734 N CUMBERLAND AVE CHICAGO, IL 60656",41.96552310000001,-87.83793779999999,1372,2948902,1006,Retail Food Establishment
259,20,JEWEL FOOD STORE #3441,"2940 N ASHLAND AVE CHICAGO, IL 60657",41.9353042,-87.6702904,1375,2948903,1006,Retail Food Establishment
259,22,JEWEL FOOD STORE #3455,"4355 N SHERIDAN RD CHICAGO, IL 60613",41.96118939999999,-87.65329489999999,1380,2948904,1006,Retail Food Establishment
259,23,JEWEL FOOD STORE #3470,"3570 N ELSTON AVE CHICAGO, IL 60618",41.9451228,-87.7085091,1382,2948905,1006,Retail Food Establishment
259,24,JEWEL FOOD STORE #3514,"3531 N BROADWAY  CHICAGO, IL 60657",41.9469183,-87.646265,1385,2948906,1006,Retail Food Establishment
259,25,JEWEL FOOD STORE #1214,"3128 W 103RD ST CHICAGO, IL 60655",41.7068462,-87.6999314,1388,2948907,1006,Retail Food Establishment
259,26,JEWEL FOOD STORE #1296,"7342 W FOSTER AVE CHICAGO, IL 60656",41.9754649,-87.81098659999999,1392,2948909,1006,Retail Food Establishment
259,27,JEWEL FOOD STORE #3407,"5516 N CLARK ST CHICAGO, IL 60640",41.9827433,-87.66913219999999,1394,2948910,1006,Retail Food Establishment
259,29,JEWEL FOOD STORE #1241,"1341 N PAULINA ST CHICAGO, IL 60622",41.9064522,-87.66874949999999,1398,2948911,1006,Retail Food Establishment
259,31,JEWEL FOOD STORE #2602,"3644 S ARCHER AVE CHICAGO, IL 60609",41.8278613,-87.6826921,1402,2948912,1006,Retail Food Establishment
259,32,JEWEL FOOD STORE #3176,"9400 S ASHLAND AVE CHICAGO, IL 60620",41.723135,-87.66321339999999,1404,2948913,1006,Retail Food Establishment
259,33,JEWEL FOOD STORE #3442,"4042 W FOSTER AVE CHICAGO, IL 60630",41.97642020000001,-87.73008070000002,1406,2948914,1006,Retail Food Establishment
259,34,Jewel Food Store #3262,"4660 W IRVING PARK RD CHICAGO, IL 60641",41.9553877,-87.7447755,1409,2948915,1006,Retail Food Establishment
259,36,JEWEL FOOD STORE #0092,"1655 E 95TH ST CHICAGO, IL 60617",41.7204697,-87.5827383,1411,2948916,1006,Retail Food Establishment
259,37,JEWEL FOOD STORE #0230,"7530 S STONY ISLAND AVE CHICAGO, IL 60649",41.7584185,-87.5876938,1000572,2948918,1006,Retail Food Establishment
259,42,JEWEL FOOD  STORE # 3345,"1224 S WABASH AVE CHICAGO, IL 60605",41.8662066,-87.6262093,1142451,2948919,1006,Retail Food Establishment
259,43,JEWEL FOOD STORE #4043,"443 E 34TH ST CHICAGO, IL 60616",41.832913,-87.61465559999999,1144384,2948920,1006,Retail Food Establishment
259,45,JEWEL FOOD STORE #3224,"6430 W IRVING PARK RD CHICAGO, IL 60634",41.9537987,-87.78785189999999,1144401,2948921,1006,Retail Food Establishment
259,48,JEWEL FOOD STORE #3344,"1220 S ASHLAND AVE CHICAGO, IL 60608",41.8659089,-87.6685751,1192905,2948922,1006,Retail Food Establishment
259,49,JEWEL FOOD STORE #0901,"3400 N WESTERN AVE CHICAGO, IL 60618",41.94344539999999,-87.6900084,1192909,2948923,1006,Retail Food Establishment
259,50,JEWEL FOOD STORE #3721,"6107 S ARCHER AVE CHICAGO, IL 60638",41.7939596,-87.770331,1225534,2948924,1006,Retail Food Establishment
259,51,JEWEL FOOD STORE #3368,"550 N STATE ST CHICAGO, IL 60654",41.8922156,-87.6288603,1226337,2948926,1006,Retail Food Establishment
259,53,JEWEL FOOD STORE #3349,"2520 N NARRAGANSETT AVE CHICAGO, IL 60639",41.9261995,-87.7863612,1353385,2948927,1006,Retail Food Establishment
259,55,JEWEL FOOD STORE #3376,"370 N DESPLAINES ST CHICAGO, IL 60661",41.8886921,-87.6450996,1909968,2948929,1006,Retail Food Establishment
259,56,Jewel Food Store #0187,"11730 S MARSHFIELD AVE CHICAGO, IL 60643",41.6802421,-87.66460000000001,1953613,2948931,1006,Retail Food Establishment
259,57,Jewel Food Store #3632,"3630 N SOUTHPORT AVE CHICAGO, IL 60613",41.9479722,-87.6643658,2037181,2948933,1006,Retail Food Establishment
259,58,JEWEL FOOD STORE #0202,"2550 N CLYBOURN AVE CHICAGO, IL 60614",41.9271422,-87.6743716,2293797,2948934,1006,Retail Food Establishment
259,59,JEWEL FOOD STORE #4500,"1340 S CANAL ST CHICAGO, IL 60607",41.8639944,-87.6397681,2293801,2948935,1006,Retail Food Establishment
259,60,JEWEL FOOD STORE # 3546,"424 W DIVISION ST CHICAGO, IL 60610",41.9048999,-87.6397496,2320247,2948936,1006,Retail Food Establishment
259,61,JEWEL FOOD STORE # 3538,"1763 W HOWARD ST CHICAGO, IL 60626",42.0178161,-87.67453479999999,2320250,2948937,1006,Retail Food Establishment
259,62,JEWEL FOOD STORE # 3234,"102 W DIVISION ST CHICAGO, IL 60610",41.9040349,-87.63170629999999,2516920,2948938,1006,Retail Food Establishment
259,63,JEWEL FOOD STORE # 3082,"6014 S COTTAGE GROVE AVE CHICAGO, IL 60637",41.7842643,-87.6070209,2627590,2948939,1006,Retail Food Establishment
262,1,KIRKWOOD BAR & GRILL,"2934-36 N SHEFFIELD AVE CHICAGO, IL 60657",41.9354815,-87.65423059999999,1425,2918770,1006,Retail Food Establishment
263,1,MR G'S FOOD & LIQUOR,"332-334 E 58TH ST CHICAGO, IL 60637",41.7895539,-87.6178363,1429,2907219,1006,Retail Food Establishment
265,1,FIRESIDE BOWL INC,"2646 W FULLERTON AVE CHICAGO, IL 60647",41.9251911,-87.6945587,1440,2930373,1470,Tavern
272,1,SLOVAK AMER. SOKOL LODGE 306,"4855 N ELSTON AVE CHICAGO, IL 60630",41.969289,-87.74169189999999,1472,2935071,1006,Retail Food Establishment
278,1,HALF SOUR,"755 S CLARK ST CHICAGO, IL 60605",41.8724487,-87.6303224,1491,2984135,1006,Retail Food Establishment
292,1,PEPE TACO,"11652 S WESTERN AVE CHICAGO, IL 60643",41.6810991,-87.68112950000001,1553,2907222,1006,Retail Food Establishment
299,1,J AND P FINER FOODS,"3501 W MONTROSE AVE CHICAGO, IL 60618",41.9609194,-87.7157364,1567,2993832,1006,Retail Food Establishment
302,1,1000 LIQUORS / BIG CITY TAP,"1000-1012 W BELMONT AVE CHICAGO, IL 60657",41.9401333,-87.6544529,1578,3002875,1006,Retail Food Establishment
